97, 0
66, 1
317, 1
35, 0.5
188, 1
171, 0.5
100, 1
286, 1
241, 0
399, 0
401, 0.5
260, 0.5
221, 1
10, 0.5
280, 1
187, 1
90, 0.5
68, 0
203, 0.5
59, 0.5
237, 0.5
157, 0.5
310, 1
276, 1
209, 1
285, 1
57, 1
178, 1
397, 1
89, 0
350, 1
354, 0.5
208, 1
297, 1
13, 1
388, 1
225, 1
63, 0.5
77, 1
158, 1
176, 1
45, 1
349, 1
309, 1
127, 0
263, 0.5
371, 1
392, 0.5
355, 0.5
324, 1
395, 1
82, 0
279, 0
319, 1
200, 1
184, 1
182, 0
9, 1
44, 0.5
227, 1
67, 1
47, 1
292, 1
65, 0.5
140, 1
124, 1
303, 1
228, 1
191, 1
288, 0.5
327, 1
23, 0.5
71, 1
177, 0.5
238, 1
87, 0.5
119, 1
193, 1
186, 1
378, 1
102, 1
210, 0
242, 1
348, 1
195, 1
218, 0.5
88, 0.5
268, 1
145, 1
323, 1
376, 1
204, 1
143, 1
149, 1
239, 1
216, 1
118, 1
37, 1
337, 1
352, 1
