37, 1
20, 0
225, 1
52, 0.5
186, 1
256, 1
279, 0.5
212, 0
190, 1
239, 1
330, 1
82, 0.5
260, 1
57, 1
121, 0.5
48, 0
114, 1
283, 0
191, 1
230, 0.5
372, 1
188, 1
135, 1
224, 0
159, 1
63, 0.5
298, 1
65, 0
33, 1
129, 1
378, 1
1, 1
173, 1
74, 1
243, 1
134, 0
130, 1
312, 0
12, 1
131, 0
259, 0.5
374, 0
93, 1
84, 1
9, 1
17, 1
339, 1
386, 1
203, 1
348, 0
180, 1
337, 1
318, 1
39, 0.5
273, 1
138, 1
231, 1
19, 1
161, 1
257, 0
303, 1
371, 1
158, 1
198, 1
346, 1
262, 1
119, 1
383, 0.5
240, 1
200, 1
14, 1
392, 1
86, 1
316, 1
278, 0
395, 1
66, 1
247, 0
43, 1
238, 1
202, 1
50, 1
47, 0
110, 1
78, 1
13, 1
324, 1
95, 1
44, 1
207, 1
102, 1
205, 1
176, 1
277, 0
199, 1
21, 0
340, 1
402, 1
133, 1
382, 0
