103, 1
243, 1
54, 0
169, 0
98, 0
241, 1
101, 1
166, 0
207, 1
59, 1
92, 0
225, 0.5
382, 1
216, 0
234, 0
399, 0.5
147, 1
26, 1
400, 1
180, 0
271, 1
151, 1
113, 0
108, 1
321, 1
121, 0
194, 1
319, 1
15, 0
235, 1
125, 1
130, 0
35, 0
386, 0.5
351, 0
355, 1
200, 0
62, 1
349, 1
104, 0
14, 1
34, 1
174, 1
346, 1
198, 1
110, 0
69, 0
292, 1
79, 1
42, 0
10, 0.5
296, 1
140, 1
74, 1
375, 1
5, 0
99, 0
148, 1
183, 1
218, 1
250, 0
357, 0.5
211, 1
401, 0
387, 1
388, 1
175, 1
61, 0
328, 1
229, 0
320, 1
384, 1
379, 0.5
232, 0
146, 1
354, 1
228, 0
126, 0
53, 0
381, 1
119, 1
57, 1
383, 0
325, 1
137, 0.5
301, 1
160, 0
347, 1
361, 0.5
154, 0
262, 1
117, 0.5
356, 0
369, 1
171, 0
329, 1
276, 1
376, 0
221, 1
287, 0.5
