154, 0
164, 1
211, 0
131, 1
342, 1
355, 0
300, 1
261, 1
71, 0.5
172, 0.5
378, 1
253, 1
380, 0.5
176, 1
317, 0
170, 1
204, 1
46, 1
10, 1
373, 1
139, 1
337, 0
68, 1
114, 1
33, 1
31, 1
95, 1
63, 0.5
335, 1
391, 0.5
313, 0
82, 1
97, 0.5
247, 1
234, 1
81, 0
145, 0
296, 0
181, 1
248, 1
209, 1
345, 1
45, 1
353, 1
250, 1
65, 1
236, 0
186, 0.5
302, 1
171, 1
177, 1
56, 1
328, 0
377, 1
303, 1
101, 1
142, 0.5
90, 0.5
314, 1
359, 1
246, 0.5
77, 1
14, 1
350, 1
340, 1
299, 1
365, 1
202, 1
92, 0.5
379, 1
165, 1
54, 1
312, 0
361, 1
329, 1
311, 1
398, 0.5
6, 0
326, 1
48, 1
13, 1
322, 1
152, 0.5
341, 1
34, 0
136, 0
251, 1
166, 1
371, 1
230, 0
130, 1
338, 1
354, 0
262, 1
327, 1
160, 1
360, 1
37, 1
257, 0.5
385, 1
