135, 1
256, 1
323, 0.5
396, 0.5
374, 0.5
280, 1
40, 0.5
128, 1
230, 1
147, 1
190, 1
61, 0.5
292, 1
206, 1
376, 1
56, 1
275, 0
381, 0.5
255, 0.5
174, 0
65, 0.5
299, 1
94, 0.5
69, 1
326, 1
43, 1
124, 0.5
0, 1
277, 0.5
70, 1
219, 1
225, 1
213, 1
103, 1
279, 0
110, 1
58, 1
236, 1
77, 1
333, 1
261, 1
123, 1
14, 1
276, 1
22, 1
129, 1
293, 0
266, 0.5
222, 1
155, 0
112, 1
296, 0
257, 0
385, 1
52, 1
90, 0.5
187, 0.5
122, 0
260, 0
54, 1
197, 0.5
50, 0.5
289, 1
239, 1
159, 0.5
157, 1
86, 0.5
186, 1
196, 1
66, 1
184, 1
384, 1
336, 0.5
3, 1
125, 0.5
98, 1
382, 0.5
389, 1
97, 1
221, 1
9, 0
301, 1
378, 1
75, 1
406, 0.5
380, 1
405, 1
320, 0.5
227, 1
193, 1
16, 1
403, 0
68, 0.5
140, 0.5
238, 0.5
327, 1
288, 0.5
2, 0.5
245, 1
64, 0.5
